GEN,UnitOnT0State,PowerGeneratedT0
EIA_56196_CT02,1000,238.0
EIA_56234_CT01,1000,187.7
EIA_56234_ST01,1000,129.6
EIA_56250_GEN1,1000,0.8
EIA_56250_GEN10,1000,1.6
EIA_56250_GEN11,1000,1.6
EIA_56250_GEN2,1000,0.8
EIA_56250_GEN3,1000,0.8
EIA_56250_GEN4,1000,0.8
EIA_56250_GEN5,1000,0.8
EIA_56250_GEN6,1000,0.8
EIA_56250_GEN7,1000,0.8
EIA_56250_GEN8,1000,0.8
EIA_56250_GEN9,1000,1.6
EIA_56259_CT11,1000,155.0
EIA_56259_CT12,1000,155.0
EIA_56259_ST13,1000,270.0
EIA_56290_1,1000,137.0
EIA_56290_1A,1000,61.1
EIA_56290_2,1000,33.0
EIA_56290_3,1000,91.0
EIA_56323_GEN1,1000,1.6
EIA_56323_GEN2,1000,1.6
EIA_56324_GEN1,1000,1.6
EIA_56324_GEN2,1000,1.6
EIA_56324_GEN3,1000,1.6
EIA_56324_GEN4,1000,1.6
EIA_56526_GEN1,1000,0.8
EIA_56526_GEN2,1000,0.8
EIA_56526_GEN3,1000,0.8
EIA_56526_GEN4,1000,0.8
EIA_56526_GEN5,1000,0.8
EIA_56526_GEN6,1000,0.8
EIA_56526_GEN7,1000,0.8
EIA_56526_GEN8,1000,0.8
EIA_56575_1,1000,20.0
EIA_56594_MU1,1000,34.5
EIA_56618_1,1000,100.5
EIA_56619_1,1000,81.0
EIA_56620_1,1000,100.5
EIA_56633_1,1000,37.5
EIA_56634_1,1000,87.5
EIA_56703_1,1000,1.0
EIA_56703_6,1000,1.2
EIA_56703_7,1000,1.2
EIA_56703_8,1000,1.2
EIA_56703_9,1000,0.9
EIA_56704_3,1000,2.0
EIA_56705_4,1000,0.5
EIA_56705_5,1000,0.5
EIA_56857_GEN1,1000,215.3
EIA_56901_1,1000,97.5
EIA_56902_1,1000,126.0
EIA_56904_1,1000,106.5
EIA_56936_GEN1,1000,2.3
EIA_56936_GEN2,1000,1.9
EIA_56936_GEN3,1000,2.1
EIA_56936_GEN4,1000,2.3
EIA_56936_GEN5,1000,2.7
EIA_56940_CTG1,1000,188.7
EIA_56940_CTG2,1000,188.7
EIA_56940_STG,1000,297.0
EIA_56953_1,1000,112.0
EIA_56958_GEN1,1000,1.6
EIA_56958_GEN2,1000,1.6
EIA_56958_GEN3,1000,1.6
EIA_56958_GEN4,1000,1.6
EIA_56986_GEN1,1000,1.6
EIA_56986_GEN2,1000,1.6
EIA_56986_GEN3,1000,1.6
EIA_56986_GEN4,1000,1.6
EIA_56987_GEN1,1000,1.6
EIA_56987_GEN2,1000,1.6
EIA_56987_GEN3,1000,1.6
EIA_57003_GEN1,1000,1.6
EIA_57003_GEN2,1000,1.6
EIA_57078_1,1000,15.0
EIA_57185_U001,1000,143.3
EIA_57185_U002,1000,143.3
EIA_57185_U003,1000,143.3
EIA_57185_U004,1000,195.4
EIA_57185_U005,1000,195.4
EIA_57185_U006,1000,195.4
EIA_57186_GEN1,1000,1.6
EIA_57186_GEN2,1000,1.6
EIA_57186_GEN3,1000,1.6
EIA_57186_GEN4,1000,1.6
EIA_57186_GEN5,1000,1.6
EIA_57186_GEN6,1000,1.6
EIA_57287_1,1000,74.0
EIA_57404_GEN1,1000,1.6
EIA_57404_GEN2,1000,1.6
EIA_57589_9WUBN,1000,31.5
EIA_57648_WT1,1000,1.7
EIA_57648_WT2,1000,1.7
EIA_57664_CT3,1000,156.0
EIA_57664_CT4,1000,156.0
EIA_57664_ST2,1000,228.0
EIA_57789_GEN1,1000,2.0
EIA_57789_GEN2,1000,2.0
EIA_57789_GEN3,1000,2.0
EIA_57798_1OBP,1000,4.6
EIA_57867_1,1000,51.3
EIA_57867_2,1000,4.1
EIA_58088_1,1000,94.4
EIA_58157_HP,1000,17.0
EIA_58157_LP,1000,7.2
EIA_58167_GEN1,1000,1.3
EIA_58167_GEN2,1000,1.3
EIA_58186_CG01,1000,0.8
EIA_58186_CG02,1000,0.8
EIA_58186_CG03,1000,1.3
EIA_58186_CG04,1000,1.2
EIA_58186_CG06,1000,1.3
EIA_58507_ES006,1000,4.8
EIA_58507_ES007,1000,3.5
EIA_58507_S0001,1000,1.2
EIA_58507_S0002,1000,1.2
