STORAGE UID,Bus ID,Discharge Rate MW,Charge Rate MW,Energy Capacity MWh,Initial SOC MWh,Charge Efficiency,Discharge Efficiency,_zone,_mwh_source
DCSES_BES4,1875,64.2,64.2,128.4,64.2,0.96,0.96,NORTH,fallback_2h
DSWL_ESS_BES1,2363,154.4,154.4,617.6,308.8,0.96,0.96,NORTH,fallback_4h
DIBOL_BESS,396,10.0,10.0,9.9,4.95,0.96,0.96,NORTH,eia860
DGFS_ESR_BESS1,3,78.2,78.2,156.4,78.2,0.96,0.96,WEST,fallback_2h
EBNY_ESS_BESS1,982,201.2,201.2,400.0,200.0,0.96,0.96,SOUTH,eia860
ELZA_SLR_BES1,2363,100.4,100.4,401.6,200.8,0.96,0.96,NORTH,fallback_4h
ENDPARKS_ESS1,2007,51.5,51.5,103.0,51.5,0.96,0.96,WEST,fallback_2h
ESTONIAN_BES1,2418,101.6,101.6,406.4,203.2,0.96,0.96,NORTH,fallback_4h
EUNICE_BES1,2367,40.3,40.3,80.6,40.3,0.96,0.96,WEST,fallback_2h
EVLN_ESS_BESS1,1157,227.9,227.9,911.6,455.8,0.96,0.96,HOUSTON,fallback_4h
FALFUR_BESS,341,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
FALFUR_BESS1,341,9.8,9.8,9.9,4.95,0.96,0.96,SOUTH,eia860
FRMRSVLW_BESS,2529,9.9,9.9,9.9,4.95,0.96,0.96,NORTH,eia860
FRMRSVL1_BES2,2418,9.9,9.9,19.8,9.9,0.96,0.96,NORTH,fallback_2h
FAULKNER_BESS,470,10.0,10.0,9.9,4.95,0.96,0.96,WEST,eia860
FENCESLR_BESS1,2363,72.0,72.0,144.0,72.0,0.96,0.96,NORTH,fallback_2h
FIVEWSLR_BESS1,792,228.5,228.5,250.0,125.0,0.96,0.96,NORTH,eia860
FLAT_TOP_FLATU1,63,9.9,9.9,19.8,9.9,0.96,0.96,WEST,fallback_2h
FLOWERII_BESS1,471,101.5,101.5,200.0,100.0,0.96,0.96,WEST,eia860
FTDUNCAN_BESS_GEN,1921,101.6,101.6,406.4,203.2,0.96,0.96,SOUTH,fallback_4h
FORTMA_BESS1,1191,10.0,10.0,20.0,10.0,0.96,0.96,SOUTH,fallback_2h
GAMBIT_BESS1,2112,102.4,102.4,409.6,204.8,0.96,0.96,COASTAL,fallback_4h
