osm_id,osm_type,name,fuel,mw,operator,lat,lon
933981021,way,Lost Pines 1 Power Project,gas,609.0,Lower Colorado River Authority,30.147421,-97.270543
941073230,way,Arthur Von Rosenberg Power Plant,gas,575.0,City of San Antonio,29.257063,-98.384171
952513833,way,Gambit Energy Storage Park,battery,100.0,Gambit Energy Storage LLC,29.168222,-95.446037
966041744,way,Austin Sustainable and Holistic Integration of Energy Storage,battery,,Austin Energy,30.294998,-97.691323
966509905,way,,solar,,,30.0245,-99.101939
970455877,way,,gas,14.0,SpaceX,25.984436,-97.190343
1011850427,way,,solar,,,31.114402,-97.788483
1023629796,way,,solar,,,30.077278,-99.210723
1024858231,way,,solar,,,31.079242,-97.824022
1058328889,way,Wagyu Solar,solar,162.0,Cypress Creek Renewables,29.242086,-95.656079
1063095218,way,J K Spruce Power Plant,coal,1444.0,City of San Antonio,29.308961,-98.3209
1063095220,way,O W Sommers Power Plant,gas,892.0,City of San Antonio,29.308172,-98.324283
1063095221,way,Lewis Creek Power Plant,gas,542.8,Entergy,30.435905,-95.521257
1063095222,way,Montgomery County Power Plant,gas,1000.0,Entergy,30.440972,-95.527265
1063095223,way,Colorado Bend Power Plant II,gas,1230.3,Exelon Power,29.288645,-96.065806
1063095224,way,Prospect Storage,battery,9.9,GlidePath Power Operations LLC,29.149451,-95.65107
1063095226,way,RC Thomas Hydroelectric Project,hydro,26.7,"East Texas Electric Coop, Inc",30.630596,-95.009872
1063095227,way,Braunig Power Station,gas,1138.0,City of San Antonio,29.258088,-98.380663
1064467422,way,,solar,,,30.113022,-97.666681
1072756150,way,Westhollow Technology Center,gas,3.7,Shell Chemical LP,29.726012,-95.638249
1072756151,way,Cascade Solar,solar,10.0,Cypress Creek Renewables,29.205669,-96.026962
1072756152,way,Bronson Solar,solar,10.0,Cypress Creek Renewables,29.538823,-95.973745
1072756153,way,Bovine Solar,solar,10.0,Cypress Creek Renewables,29.631618,-96.078785
1072756154,way,Freeport LP Pretreatment Facility Cogen,gas,87.0,Freeport LNG Development L.P,28.98258,-95.308372
1072756155,way,Houston Chemical Complex Battleground,gas,380.7,Oxy Vinyls LP,29.73134,-95.083983
1072756156,way,Oyster Creek Unit VIII,gas,497.9,Dow Chemical Company-Oyster Creek VIII,28.980037,-95.342687
1072756157,way,HO Clarke Generating,gas,484.0,ProEnergy Services,29.644918,-95.451993
1072756158,way,Odyssey Energy Altura Cogen,gas,643.6,Odyssey Operating Services,29.815373,-95.108474
1072756159,way,Topaz Generating,gas,605.0,ProEnergy Services,29.426074,-94.976767
1072756160,way,Freeport Energy,gas,678.1,Olin Blue Cube Operations,28.99088,-95.407363
1072756161,way,Power Station 4,gas,191.1,South Houston Green Power LLC,29.378022,-94.921963
1072756162,way,GCWA,oil,7.2,"Power Depot Group A, LLC",29.380616,-94.953648
1072756163,way,Clara Power Plant,oil,9.0,"Power Depot Group A, LLC",29.845351,-95.55404
1072756164,way,Cutten Power Plant,oil,9.0,"Power Depot Group A, LLC",29.956757,-95.527497
1072756165,way,Mckeever Power Plant,oil,9.0,"Power Depot Group A, LLC",29.508328,-95.479095
1072756166,way,Southwick Power Plant,oil,9.0,"Power Depot Group A, LLC",29.595617,-95.36584
1072756167,way,Stonegate Power Plant,oil,9.0,"Power Depot Group A, LLC",29.785222,-95.875446
1080656178,way,E-Volve Energy Holdings,solar,1.2,E-Volve Energy Holdings LLC,29.740956,-96.160196
1080656673,way,CatanSolar,solar,10.0,"Adapture Renewables, Inc.",28.870527,-97.699153
1080657053,way,"Alexis Solar, LLC",solar,10.0,Sol Systems,26.888778,-98.2342
1080657067,way,Niagara Bottling - Seguin,solar,4.9,SkyHigh 2 Solar,29.588508,-97.979155
1080658063,way,Mars Solar,solar,10.0,Sol Systems,27.42304,-98.831236
1085388994,way,Power Island power station,gas,141.0,INEOS USA LLC,29.229755,-95.194389
1086050920,way,North Fork TX,battery,100.0,Broad Reach Power,30.752764,-97.878543
1087366798,way,Bryan Power Plant,gas,22.0,City of Bryan - (TX),30.646941,-96.372872
1089363453,way,Loop 463,battery,9.9,Broad Reach Power,28.816857,-97.074547
1089363456,way,Victoria Port Power II,gas,100.0,Victoria Port Power II,28.697237,-96.945778
1089363457,way,Victoria City Power,gas,100.0,"Agilon Energy Holdings II, LLC",28.785663,-97.010098
1089363458,way,Victoria Port Power,gas,100.0,"Agilon Energy Holdings II, LLC",28.695755,-96.945194
1089363459,way,TX2 Port Lavaca,battery,9.9,Key Capture Energy,28.586713,-96.683736
1119989473,way,Shell Deer Park Power Station,gas;steam,274.0,Deer Park Refinery Limited Partnership (DPRLP),29.721876,-95.128359
1150069563,way,Lampwick,solar,7.5,Sol Systems,30.872536,-99.535734
1157813655,way,IKEA Round Rock 027,solar,1.4,IKEA Property Inc,30.557422,-97.690639
1159177369,way,CPS 1 Community Solar,solar,1.0,City of San Antonio - (TX),29.362392,-98.23358
1160253523,way,ExxonMobil Baytown Power Plant,gas,381.8,Exxon Mobil Refining and Supply Co.,29.755243,-95.01435
1160554501,way,Brightside,solar,50.7,Luminant Generation Company LLC,28.450712,-97.982973
1160707475,way,,solar,,,29.220512,-98.251547
1160708436,way,,solar,,,29.128712,-98.107099
1160708582,way,,solar,,,29.133981,-98.193006
1161573935,way,Longbow Solar,solar,78.1,,29.285961,-95.296222
1162917941,way,TX12 Silicon Hill Storage,battery,100.0,Key Capture Energy,30.412233,-97.573716
1171448403,way,WattBridge Braes Bayou Power Plant,gas,484.0,ProEnergy Services,29.479296,-95.6211
1173103898,way,ProEnergy Mark One Power Plant,gas,363.0,ProEnergy Services,29.227356,-95.431893
1185347713,way,Motiva Enterprises Port Arthur Refinery Power Plant,gas,,,29.888332,-93.966082
1185363273,way,Freeport Energy Center,gas,260.0,Dow Chemical Co,28.988911,-95.395779
1186913507,way,Air Products Port Arthur power station,gas,169.0,,29.866558,-93.965538
1186995038,way,Union Carbide Seadrift Cogen Power Station,,,,28.510369,-96.770498
1188969087,way,Hal C. Weaver Power Plant,gas,152.5,University of Texas at Austin,30.286614,-97.734955
1189228760,way,Victoria Texas Plant,,,,28.675246,-96.956209
1190043793,way,,solar,,,28.923657,-98.535107
1193593175,way,,solar,,,29.219112,-95.390072
1196704249,way,Cheniere LNG Generation,gas,204.0,"Cheniere Energy Partners, L.P.",29.748601,-93.869962
1217222659,way,GFTX BESS,battery,125.0,Giga Texas Energy LLC,30.230544,-97.615994
1218387760,way,Valero Refinery Corpus Christi West Power Station,waste_heat,69.2,Valero Refining Co,27.817274,-97.484806
1219860490,way,Rentech Nitrogen Pasadena Cogeneration Power Station,waste,15.4,PCI Nitrogen LLC,29.739875,-95.196152
1224658876,way,Woodville Renewable Power Project Power Plant,biomass,49.9,"East Texas Electric Coop, Inc",30.749018,-94.435837
1236076807,way,,solar,,,26.144492,-97.828495
1236076811,way,,solar,,,26.145535,-97.83447
1257533974,way,,solar,,,30.035834,-99.123907
1274637750,way,,solar,,,30.771081,-95.039395
1286730759,way,,solar,,,30.373459,-95.364209
1318563291,way,,solar,,,29.629313,-95.293491
1320511862,way,Brotman Power Station,gas,484.0,ProEnergy Services,29.364398,-95.435323
1329987047,way,,solar,,,29.524606,-98.724806
1329991015,way,,solar,,,29.655955,-98.648765
1329999651,way,,solar,,,29.183807,-98.855662
1330054246,way,,solar,,,27.69396,-99.750966
