GEOID,population,lat,lng
48029181303,3764,29.5354781,-98.5739886
48029181402,2894,29.5122454,-98.5803117
48029181403,6182,29.5257754,-98.5797164
48029181404,5223,29.5286422,-98.5882052
48029181503,8457,29.5127445,-98.6027543
48029181504,6612,29.5058719,-98.5936735
48029181505,4388,29.4999762,-98.6050448
48029181506,3992,29.4930504,-98.6092462
48029181601,3189,29.4753342,-98.6024199
48029181602,5639,29.4579251,-98.6140374
48029181703,7034,29.5271515,-98.6523463
48029181704,5904,29.5023002,-98.6345896
48029181705,6736,29.4806068,-98.6170515
48029181711,8400,29.5120429,-98.6494648
48029181712,3635,29.493018,-98.6596257
48029181713,7155,29.492093,-98.6472728
48029181715,5958,29.4994275,-98.6859053
48029181716,7167,29.5080917,-98.6954648
48029181718,5023,29.5278207,-98.6716386
48029181720,4324,29.5461035,-98.6600963
48029181721,3211,29.5427633,-98.673995
48029181722,4707,29.5135739,-98.6728634
48029181723,4084,29.5216024,-98.6784302
48029181724,5383,29.5527545,-98.6903421
48029181725,5641,29.4601895,-98.6260127
48029181726,13282,29.5312744,-98.6945613
48029181727,3944,29.4718355,-98.6415982
48029181729,13707,29.5261089,-98.7445249
48029181730,3920,29.4928775,-98.6703618
48029181731,7171,29.5026423,-98.6726616
48029181732,7668,29.5049392,-98.7068709
48029181733,6381,29.5133501,-98.7135103
48029181808,2200,29.5354916,-98.5978441
48029181809,6619,29.5503905,-98.6227123
48029181811,4265,29.5326954,-98.6399857
48029181813,7676,29.556723,-98.579913
48029181814,6314,29.5753823,-98.58921
48029181815,2958,29.5469345,-98.593782
48029181816,4067,29.5555962,-98.6083202
48029181817,3203,29.5111345,-98.6179846
48029181818,5340,29.5287252,-98.6105706
48029181819,7354,29.5650755,-98.6124925
48029181820,7739,29.5775882,-98.616121
48029181821,3396,29.5407126,-98.6238092
48029181822,4924,29.528202,-98.630372
48029181823,3137,29.5794462,-98.639192
48029181824,3309,29.5649135,-98.6392329
48029181825,5486,29.5485752,-98.6530224
48029181826,6892,29.5524718,-98.636731
48029181901,5940,29.5969455,-98.6099198
48029181902,10935,29.6458028,-98.6451298
48029182001,5384,29.5661475,-98.6624245
48029182002,10116,29.5980079,-98.6681052
48029182003,4899,29.5952357,-98.6387277
48029182101,15049,29.7235727,-98.6441332
48029182102,12703,29.7039316,-98.6676857
48029182103,5481,29.6666806,-98.7362806
48029182105,12469,29.5999558,-98.7919613
48029182106,10830,29.558746,-98.7112946
48029190100,3314,29.4481247,-98.5071002
48029190200,3652,29.4525177,-98.4897692
48029190400,4273,29.4630742,-98.4894483
48029190501,2554,29.4603679,-98.5198886
48029190503,3123,29.4596714,-98.5035886
48029190504,2385,29.4597554,-98.511877
48029190601,3665,29.4721189,-98.5216808
48029190603,2661,29.473431,-98.5035898
48029190604,4167,29.4746718,-98.5136721
48029190700,2957,29.477457,-98.4955822
48029190800,2176,29.4749255,-98.4866305
48029190901,5383,29.5060157,-98.4982963
48029190902,3601,29.4957137,-98.4883111
48029191003,7987,29.5018235,-98.5199757
48029191004,3688,29.4961477,-98.5066123
48029191005,2123,29.4853883,-98.5040057
48029191006,6311,29.4864927,-98.5168106
48029191101,1788,29.5289945,-98.524136
48029191102,2190,29.5138141,-98.5143152
48029191201,3143,29.540982,-98.5005922
48029191202,4982,29.5326602,-98.5075961
48029191303,1624,29.5541485,-98.4847276
48029191304,2840,29.5288471,-98.4901594
48029191405,8293,29.5758462,-98.5386156
48029191406,6328,29.5981134,-98.5200082
48029191408,3014,29.5497217,-98.5149787
48029191409,6243,29.5431098,-98.5208733
48029191410,5616,29.5551413,-98.5082307
48029191411,4500,29.5672828,-98.5112864
48029191412,2271,29.5918428,-98.5368018
48029191413,6185,29.5776779,-98.5225684
48029191503,5227,29.574561,-98.5700983
48029191504,2708,29.5821019,-98.5606146
48029191505,2107,29.5528449,-98.5480146
48029191506,5889,29.5579374,-98.5438575
48029191701,1533,29.5819992,-98.4856635
