osm_id,osm_type,name,voltage_kv,operator,substation_type,lat,lon
489376584,way,George West Substation,69.0,South Texas Electric Cooperative,distribution,28.330963,-98.073187
489376589,way,Los Angeles Substation,138.0,South Texas Electric Cooperative,distribution,28.390987,-99.001184
489376594,way,Fowlerton Substation,345.0,South Texas Electric Cooperative,distribution,28.371332,-98.800567
489376638,way,George West Switching Station,138.0,South Texas Electric Cooperative,transmission,28.403644,-98.194007
489376654,way,Simmons City Substation,69.0,South Texas Electric Cooperative,distribution,28.408844,-98.205893
489376658,way,Tilden Substation,138.0,South Texas Electric Cooperative,distribution,28.459403,-98.518459
489376659,way,Choke Canyon Prison Substation,69.0,South Texas Electric Cooperative,distribution,28.441813,-98.320069
489376671,way,Choke Canyon Substation,69.0,South Texas Electric Cooperative,distribution,28.453532,-98.280327
489376693,way,North Calliham Substation,69.0,South Texas Electric Cooperative,distribution,28.543665,-98.341229
489376703,way,Three Rivers Refinery Substation,138.0,,industrial,28.458506,-98.190699
489376714,way,Sigmor Substation,138.0,American Electric Power,industrial,28.455295,-98.187
489376718,way,Choke Canyon Substation,138.0,American Electric Power,distribution,28.454974,-98.219157
489376730,way,Choate Substation,138.0,South Texas Electric Cooperative,transmission,28.815532,-97.740807
489376734,way,Kenedy Substation,69.0,South Texas Electric Cooperative,distribution,28.879891,-97.83244
489376738,way,Coy City Substation,69.0,South Texas Electric Cooperative,distribution,28.871968,-97.993896
489376740,way,Berclair Substation,69.0,American Electric Power,distribution,28.493287,-97.598525
489376741,way,Beeville Substation,69.0,South Texas Electric Cooperative,distribution,28.424928,-97.797853
489376745,way,Normanna Substation,69.0,American Electric Power,distribution,28.533549,-97.774005
489376746,way,Tuleta Substation,138.0,American Electric Power,distribution,28.598232,-97.788781
489376750,way,Pettus Substation,69.0,American Electric Power,distribution,28.620674,-97.795444
489376760,way,Lyssy Substation,138.0,South Texas Electric Cooperative,distribution,28.894278,-98.12007
489376761,way,Karnes City Substation,138.0,American Electric Power,distribution,28.858843,-97.878685
489376768,way,Kenedy Substation,69.0,American Electric Power,distribution,28.817645,-97.843949
489376775,way,Beeville Substation,69.0,American Electric Power,transmission,28.39702,-97.743451
489376783,way,Three Rivers Substation,69.0,American Electric Power,transmission,28.480917,-98.157666
489376786,way,Sunniland Substation,69.0,South Texas Electric Cooperative,distribution,28.581355,-98.200195
489376790,way,Fashing Substation,69.0,American Electric Power,distribution,28.824534,-98.170747
489453630,way,Orange Grove Substation,69.0,South Texas Electric Cooperative,distribution,27.919941,-97.960238
489453634,way,Sandia Substation,69.0,South Texas Electric Cooperative,distribution,28.034822,-97.866796
489453635,way,Casa Blanca Substation,69.0,American Electric Power,distribution,27.998259,-97.908078
489453644,way,Orange Grove Switching Station,138.0,South Texas Electric Cooperative,transmission,27.919079,-97.961432
489453647,way,George West Substation,138.0,American Electric Power,distribution,28.302004,-98.138437
489675515,way,Corpus Christi Substation,69.0,South Texas Electric Cooperative,distribution,27.688553,-97.502244
489675518,way,Robstown Substation,69.0,South Texas Electric Cooperative,distribution,27.768597,-97.636144
489675550,way,Papalote Creek Wind Farm Substation,138.0,E.ON,transmission,27.951072,-97.425969
489675554,way,Robstown City Substation,69.0,American Electric Power,distribution,27.80038,-97.661717
489675561,way,Robstown Substation,69.0,American Electric Power,distribution,27.790022,-97.658919
489675584,way,Riverside Substation,69.0,South Texas Electric Cooperative,distribution,27.847024,-97.719097
489675593,way,Banquete Substation,69.0,American Electric Power,distribution,27.796891,-97.791467
489675614,way,Odem Substation,69.0,American Electric Power,distribution,27.942557,-97.573837
489675618,way,Water Works Substation,69.0,American Electric Power,distribution,27.876612,-97.625162
489675625,way,Edroy Substation,69.0,American Electric Power,distribution,27.975394,-97.684684
489675629,way,Taft Substation,69.0,South Texas Electric Cooperative,distribution,28.000668,-97.358154
489675634,way,Sodville Substation,69.0,South Texas Electric Cooperative,distribution,27.969708,-97.472918
489675670,way,Smith Substation,69.0,American Electric Power,distribution,27.867817,-97.632191
489675675,way,Stevens Substation,69.0,American Electric Power,distribution,27.860101,-97.619411
490190235,way,Driscoll Substation,69.0,South Texas Electric Cooperative,distribution,27.626414,-97.740928
490190243,way,Corpus Christi Switch,69.0,South Texas Electric Cooperative,transmission,27.711006,-97.635877
490190249,way,Kleberg Substation,138.0,American Electric Power,distribution,27.492133,-97.855221
490190255,way,,138.0,South Texas Electric Cooperative,industrial,27.755598,-97.819561
490190261,way,Bunsen Substation,138.0,American Electric Power,transmission,27.761539,-97.818459
490190264,way,Bishop Substation,69.0,American Electric Power,distribution,27.579517,-97.842991
490190268,way,,138.0,,industrial,27.568829,-97.820813
490190270,way,Celanese Bishop Substation,138.0,American Electric Power,industrial,27.560476,-97.830378
490190282,way,King Ranch Gas Plant Substation,138.0,American Electric Power,industrial,27.469186,-98.053479
490190283,way,Kingsville Substation,138.0,American Electric Power,distribution,27.530639,-97.886176
490190285,way,Central Substation,69.0,South Texas Electric Cooperative,distribution,27.670102,-97.910516
490190288,way,Ben Bolt Substation,69.0,South Texas Electric Cooperative,distribution,27.687378,-98.068991
490190295,way,Alice Substation,138.0,American Electric Power,transmission,27.729767,-98.087382
490190299,way,Stadium Substation,69.0,American Electric Power,distribution,27.746075,-98.053873
490190303,way,Government Wells Substation,69.0,American Electric Power,distribution,27.933133,-98.601587
490190305,way,Freer Substation,69.0,American Electric Power,distribution,27.845241,-98.617435
490190308,way,San Diego Substation,69.0,South Texas Electric Cooperative,distribution,27.740978,-98.248193
493526351,way,Fredonia Substation,69.0,Central Texas Electric Cooperative,distribution,30.894628,-99.119033
493526364,way,Puncher Substation,69.0,,industrial,30.562287,-99.261785
