plant_code,lat,lon,state,grid_voltage_kv,grid_voltage_2_kv,grid_voltage_3_kv,nerc_region,balancing_authority
54523,41.998889,-88.302222,IL,34.0,,,RFC,PJM
54524,43.904085,-116.244193,ID,69.0,,,WECC,IPCO
54525,41.1128,-87.8681,IL,12.5,,,RFC,PJM
54529,28.0274,-81.8475,FL,69.0,,,SERC,FMPP
54533,44.796405,-95.179787,MN,69.0,13.0,5.0,MRO,MISO
54536,42.105669,-83.498845,MI,40.0,,,RFC,MISO
54537,48.828996,-122.685114,WA,115.0,,,WECC,PSEI
54538,34.339588,-82.819871,GA,230.0,,,SERC,SOCO
54539,42.985,-83.9764,MI,8.0,,,RFC,MISO
54540,42.2891,-88.413,IL,12.6,,,RFC,PJM
54547,43.495,-76.4511,NY,345.0,,,NPCC,NYIS
54548,43.980806,-75.624677,NY,23.0,,,NPCC,NYIS
54549,42.772888,-84.52367,MI,46.0,,,RFC,MISO
54550,30.43203,-88.18241,AL,4.16,,,SERC,SOCO
54554,38.3914,-120.0008,CA,21.0,,,WECC,CISO
54555,38.144636,-120.380497,CA,230.0,,,WECC,CISO
54556,41.7775,-87.8233,IL,34.5,,,RFC,PJM
54558,42.6051,-114.093,ID,12.46,,,WECC,IPCO
54562,46.103887,-122.918429,WA,115.0,13.8,,WECC,BPAT
54566,32.8061,-83.5456,GA,12.0,,,SERC,SOCO
54567,38.596283,-121.687518,CA,12.5,,,WECC,CISO
54569,39.909424,-74.178041,NJ,34.5,,,RFC,PJM
54572,43.473238,-71.533623,NH,34.5,,,NPCC,ISNE
54573,41.598395,-73.922036,NY,14.0,,,NPCC,NYIS
54574,44.7132,-73.4557,NY,115.0,,,NPCC,NYIS
54580,43.2469,-73.8281,NY,115.0,,,NPCC,NYIS
54586,42.632124,-71.313235,MA,115.0,,,NPCC,ISNE
54592,44.9503,-74.8928,NY,115.0,,,NPCC,NYIS
54593,42.9828,-78.1592,NY,115.0,,,NPCC,NYIS
54594,32.578011,-110.852608,AZ,12.74,,,WECC,WALC
54604,42.299332,-83.705318,MI,40.0,,,RFC,MISO
54605,41.748327,-72.636693,CT,22.3,,,NPCC,ISNE
54618,36.033761,-80.227404,NC,480.0,,,SERC,DUK
54620,42.5428,-71.8528,MA,69.0,,,NPCC,ISNE
54623,25.748565,-80.152791,FL,13.2,,,SERC,FPL
54624,25.549834,-80.336253,FL,13.2,,,SERC,FPL
54625,40.0967,-75.3103,PA,138.0,,,RFC,PJM
54626,35.576323,-119.006245,CA,115.0,,,WECC,CISO
54627,26.5769,-80.7469,FL,138.0,,,SERC,FPL
54628,31.764458,-106.391314,TX,13.8,,,WECC,EPE
54630,39.648565,-106.949394,CO,480.0,,,WECC,PSCO
54634,40.8222,-76.1736,PA,69.0,,,RFC,PJM
54637,29.963502,-93.929737,TX,69.0,,,SERC,MISO
54638,41.491466,-78.675759,PA,115.0,,,RFC,PJM
54639,44.3889,-71.1645,NH,22.0,,,NPCC,ISNE
54640,40.0613,-74.1686,NJ,230.0,,,RFC,PJM
54646,21.302106,-158.096318,HI,138.0,,,,
54647,35.05,-118.2572,CA,66.0,,,WECC,CISO
54653,39.558897,-121.296117,CA,12.0,,,WECC,CISO
54654,40.0941,-123.508983,CA,60.0,,,WECC,CISO
54655,36.576778,-79.432503,VA,13.9,,,SERC,PJM
54656,34.3533,-78.2137,NC,13.8,,,SERC,CPLE
54659,41.0333,-87.8678,IL,12.0,,,RFC,PJM
54661,42.5825,-88.0436,WI,28.0,,,RFC,MISO
54662,41.981004,-88.27452,IL,13.0,,,RFC,PJM
54663,43.241555,-70.966404,NH,35.0,,,NPCC,ISNE
54665,39.395603,-119.746762,NV,120.0,,,WECC,NEVP
54666,39.394444,-119.7475,NV,120.0,,,WECC,NEVP
54667,32.6956,-108.1225,NM,115.0,,,WECC,PNM
54668,44.0597,-111.3535,ID,12.0,,,WECC,BPAT
54674,46.383828,-115.949338,ID,16.0,,,WECC,AVA
54675,35.1103,-81.9675,SC,4.2,,,SERC,DUK
54676,28.9802,-95.342,TX,138.0,,,TRE,ERCO
54677,29.9327,-89.9782,LA,13.8,,,SERC,MISO
54678,31.088011,-91.618853,LA,115.0,,,SERC,MISO
54679,40.0111,-105.3347,CO,25.0,,,WECC,PSCO
54680,40.0111,-105.3347,CO,25.0,,,WECC,PSCO
54681,33.898856,-116.57281,CA,34.5,,,WECC,CISO
54682,33.893685,-116.567811,CA,34.5,,,WECC,CISO
54685,33.887401,-116.578231,CA,34.5,,,WECC,CISO
54686,35.0506,-118.1714,CA,12.0,,,WECC,CISO
54687,35.0506,-118.1714,CA,12.0,,,WECC,CISO
54688,41.99897,-71.517434,RI,13.8,,,NPCC,ISNE
54689,32.7146,-115.518,CA,92.0,,,WECC,IID
54690,43.6058,-116.5753,ID,12.6,,,WECC,IPCO
54691,43.884444,-75.430556,NY,23.0,,,NPCC,NYIS
54694,32.728822,-114.654053,AZ,69.0,,,WECC,AZPS
54700,41.598889,-93.355,IA,13.0,,,MRO,MISO
54705,29.8667,-89.8261,LA,12.47,,,SERC,MISO
54710,42.490556,-90.745,IA,0.48,,,MRO,MISO
54712,43.0906,-91.5542,IA,0.48,,,MRO,MISO
54713,42.025,-93.441666,IA,115.0,,,MRO,MISO
54714,42.02425,-91.70405,IA,0.48,,,MRO,MISO
54715,42.056,-92.8971,IA,24.9,,,MRO,MISO
54716,42.0289,-91.5975,IA,12.47,,,MRO,MISO
54717,42.0356,-91.6458,IA,13.2,,,MRO,MISO
54718,43.3744,-92.1331,IA,0.48,,,MRO,MISO
54719,41.935,-91.6361,IA,0.48,,,MRO,MISO
54720,41.7958,-92.0592,IA,4.16,,,MRO,MISO
54721,44.724242,-121.247729,OR,69.0,,,WECC,PACW
54723,38.6892,-77.2375,VA,34.0,,,SERC,PJM
54724,32.7881,-115.2481,CA,92.0,,,WECC,IID
54729,40.106269,-108.711161,CO,12.5,,,WECC,WACM
54730,30.403538,-88.12833,AL,4.2,,,SERC,SOCO
54731,39.761513,-86.501588,IN,69.0,,,RFC,MISO
54734,32.66176,-108.3628,NM,115.0,,,WECC,PNM
54735,42.53,-90.6847,IA,0.48,,,MRO,MISO
54743,32.668889,-86.72,AL,115.0,,,SERC,SOCO
54744,31.24793,-90.19914,MS,115.0,,,SERC,MISO
54746,40.162633,-74.768164,PA,230.0,,,RFC,PJM
54748,29.97876,-93.952294,TX,69.0,,,SERC,MISO
54749,33.1185,-117.0995,CA,69.0,,,WECC,CISO
54750,35.0663,-118.339444,CA,66.0,,,WECC,CISO
54751,43.08511,-83.669386,MI,46.0,,,RFC,MISO
54752,31.9698,-87.4806,AL,115.0,,,SERC,SOCO
54753,42.647376,-114.89031,ID,96.0,,,WECC,IPCO
54756,43.047306,-85.956173,MI,46.0,,,RFC,MISO
54757,42.908815,-83.725085,MI,46.0,,,RFC,MISO
54758,41.584429,-72.041629,CT,115.0,,,NPCC,ISNE
54761,45.8042,-119.37,OR,230.0,,,WECC,PACW
54763,32.4541,-87.9759,AL,115.0,,,SERC,SOCO
54766,37.193584,-77.467185,VA,34.5,,,SERC,PJM
54768,35.4837,-119.0298,CA,115.0,,,WECC,CISO
54769,40.6467,-74.0211,NY,0.48,,,NPCC,NYIS
54772,43.304413,-73.63993,NY,34.5,,,NPCC,NYIS
54775,41.6572,-91.54,IA,69.0,,,MRO,MISO
54780,40.105169,-88.241528,IL,69.0,,,SERC,MISO
54782,42.9281,-76.8408,NY,34.5,,,NPCC,NYIS
54785,39.942219,-75.188069,PA,230.0,,,RFC,PJM
54788,42.044038,-87.699556,IL,41.8,,,RFC,PJM
54789,31.077,-87.1116,AL,44.0,,,SERC,SOCO
54790,41.1603,-87.8542,IL,12.5,12.5,,RFC,PJM
54793,42.6878,-95.405,IA,161.0,,,MRO,MISO
54794,44.216812,-96.237148,MN,12.47,,,MRO,MISO
54795,39.2744,-76.5956,MD,13.2,,,RFC,PJM
54800,36.8347,-119.7667,CA,21.0,,,WECC,CISO
54801,36.423715,-79.952494,NC,12.47,,,SERC,DUK
54802,32.1761,-85.0272,AL,13.8,,,SERC,SOCO
54803,43.7644,-71.6881,NH,4.1,,,NPCC,ISNE
54805,42.129361,-71.511496,MA,115.0,,,NPCC,ISNE
54808,40.7899,-73.9233,NY,13.2,,,NPCC,NYIS
54809,47.6539,-122.3036,WA,26.0,,,WECC,SCL
54812,42.740139,-114.161173,ID,34.5,,,WECC,IPCO
54813,33.8111,-84.3928,GA,480.0,,,SERC,SOCO
54814,36.7367,-107.9417,NM,115.0,,,WECC,WALC
54816,33.8775,-84.4603,GA,480.0,,,SERC,SOCO
54817,32.3994,-97.4078,TX,138.0,,,TRE,ERCO
54818,33.7583,-84.3869,GA,0.48,,,SERC,SOCO
54823,34.74625,-78.807292,NC,25.0,,,SERC,CPLE
54827,19.712994,-155.14857,HI,69.0,,,,
54829,40.475724,-74.446199,NJ,26.4,,,RFC,PJM
54830,33.7919,-84.2831,GA,14.0,,,SERC,SOCO
54832,38.6681,-76.8678,MD,230.0,,,RFC,PJM
54834,63.973572,-145.716581,AK,25.0,,,,
54835,40.387242,-86.939136,IN,138.0,,,RFC,MISO
54839,30.9136,-83.2529,GA,12.5,,,SERC,SOCO
54844,38.124688,-78.203543,VA,230.0,,,SERC,PJM
54845,33.7625,-84.3872,GA,19.8,,,SERC,SOCO
54848,30.8625,-83.2894,GA,480.0,,,SERC,SOCO
54850,37.3208,-85.3611,KY,12.47,,,SERC,PJM
54851,43.0214,-87.9014,WI,26.4,,,RFC,MISO
54854,36.1375,-115.0339,NV,13.8,,,WECC,NEVP
54855,41.91708,-87.79218,IL,12.4,,,RFC,PJM
54857,45.7725,-87.9936,WI,13.8,,,RFC,MISO
54858,38.627566,-90.193377,MO,13.8,,,SERC,MISO
54860,47.549652,-121.710517,WA,34.5,,,WECC,PSEI
54863,42.6944,-74.9242,NY,12.47,,,NPCC,NYIS
54865,43.227058,-76.302137,NY,2.4,,,NPCC,NYIS
54867,46.4094,-86.6443,MI,138.0,,,RFC,MISO
54877,33.7611,-84.3892,GA,480.0,,,SERC,SOCO
54878,44.336358,-75.50274,NY,115.0,,,NPCC,NYIS
54885,44.2769,-88.3344,WI,13.8,,,RFC,MISO
54886,41.9031,-87.6831,IL,12.0,,,RFC,PJM
54887,35.665961,-77.35744,NC,13.2,,,SERC,CPLE
