Bus ID,Bus Name,Sub Name,BaseKV,Bus Type,MW Load,MVAR Load,Area,Sub Area,Zone,lat,lng,osm_id,is_split
2033,OSM_2033,SPL_2033,138.0,PQ,0.0,0.0,4,4,WEST,31.81211,-104.07625,1452982225.0,False
2034,OSM_2034,SPL_2034,138.0,PQ,0.0,0.0,4,4,WEST,31.81216,-104.08083,1452982224.0,False
2035,OSM_2035,SPL_2035,138.0,PQ,0.0,0.0,4,4,WEST,31.82745,-104.21314,1452982215.0,False
2036,OSM_2036,SPL_2036,138.0,PQ,0.0,0.0,4,4,WEST,31.8295,-104.21305,1452982213.0,False
2037,OSM_2037,SPL_2037,138.0,PQ,0.0,0.0,4,4,WEST,32.85662,-100.99249,1452973269.0,False
2038,OSM_2038,SPL_2038,138.0,PQ,0.0,0.0,4,4,WEST,32.09218,-101.8845,1451840809.0,False
2039,OSM_2039,SPL_2039,345.0,PQ,0.0,0.0,2,2,HOUSTON,29.3967,-95.73797,1451277516.0,False
2040,OSM_2040,SPL_2040,138.0,PQ,0.0,0.0,1,1,NORTH,31.27869,-96.48905,1451076056.0,False
2041,OSM_2041,SPL_2041,138.0,PQ,0.0,0.0,1,1,NORTH,33.14107,-96.66179,1449267333.0,False
2042,OSM_2042,SPL_2042,138.0,PQ,0.0,0.0,3,3,SOUTH,29.61435,-97.962,1448719829.0,False
2043,OSM_2043,SPL_2043,138.0,PQ,0.0,0.0,3,3,SOUTH,29.65301,-98.0141,1448717353.0,False
2044,OSM_2044,SPL_2044,138.0,PQ,0.0,0.0,3,3,SOUTH,28.60603,-97.64651,1448534022.0,False
2045,OSM_2045,SPL_2045,138.0,PQ,0.0,0.0,3,3,SOUTH,27.93501,-97.24813,1448341706.0,False
2046,OSM_2046,SPL_2046,138.0,PQ,0.0,0.0,3,3,SOUTH,27.90356,-97.26786,1448341695.0,False
2047,OSM_2047,SPL_2047,138.0,PQ,0.0,0.0,3,3,SOUTH,27.83904,-97.49698,1447047040.0,False
2048,OSM_2048,SPL_2048,138.0,PQ,0.0,0.0,3,3,SOUTH,27.6646,-97.36115,1447037719.0,False
2049,OSM_2049,SPL_2049,138.0,PQ,0.0,0.0,2,2,HOUSTON,29.72654,-95.1746,1445663578.0,False
2050,OSM_2050,SPL_2050,138.0,PQ,0.0,0.0,3,3,SOUTH,31.04425,-97.7135,1445661611.0,False
2051,OSM_2051,SPL_2051,138.0,PQ,0.0,0.0,3,3,SOUTH,29.37844,-98.99361,1445316801.0,False
2052,OSM_2052,SPL_2052,345.0,PQ,0.0,0.0,1,1,NORTH,32.39289,-97.68547,1441691892.0,False
2053,OSM_2053,SPL_2053,138.0,PQ,0.0,0.0,1,1,NORTH,33.4349,-95.57426,1441673059.0,False
2054,OSM_2054,SPL_2054,138.0,PQ,0.0,0.0,1,1,NORTH,33.20689,-96.00182,1441653699.0,False
2055,OSM_2055,SPL_2055,138.0,PQ,0.0,0.0,1,1,NORTH,33.03522,-96.20062,1441544720.0,False
2056,OSM_2056,SPL_2056,138.0,PQ,0.0,0.0,1,1,NORTH,33.05621,-96.23912,1441544718.0,False
2057,OSM_2057,SPL_2057,138.0,PQ,0.0,0.0,1,1,NORTH,33.01038,-96.28914,1441544716.0,False
2058,OSM_2058,SPL_2058,138.0,PQ,0.0,0.0,3,3,SOUTH,28.86458,-96.02495,1441539737.0,False
2059,OSM_2059,SPL_2059,345.0,PQ,0.0,0.0,3,3,SOUTH,30.99795,-96.99834,1441535856.0,False
2060,OSM_2060,SPL_2060,345.0,PQ,0.0,0.0,3,3,SOUTH,31.02751,-96.93267,1441535422.0,False
