ercot_substation,lat,lon,match_source,confidence,score,matched_name,load_zone,max_voltage_kv,eia_plant_code,osm_id,propagated_from
ADL,29.271,-98.456,propagated,low,0,,LZ_HOUSTON,138.0,,,BEXAR_ES
ADMDS,32.865417,-97.099401,propagated,low,0,,LZ_WEST,138.0,,,EULES
ADVANCE,30.384126,-97.90037,propagated,low,0,,LZ_SOUTH,138.0,,,HIDDENVL
ADVANCE1,35.40238,-101.15404,propagated,low,0,,LZ_NORTH,69.0,,,RAILHEAD
AE,30.752638,-95.225219,propagated,low,0,,LZ_HOUSTON,138.0,,,PT
AEEC,30.464977,-103.475361,propagated,low,0,,LZ_WEST,345.0,,,LASSO
AF,31.4647,-96.985,propagated,low,0,,LZ_HOUSTON,138.0,,,LK
AFTON,33.733852,-100.841846,osm,high,100,Afton Substation,LZ_WEST,69.0,,468792515,
AGLPD,26.523359,-99.017108,propagated,low,0,,LZ_WEST,138.0,,,STARR
AGNES,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,
AGUAYO,31.503698,-97.762643,propagated,low,0,,LZ_NORTH,345.0,,,GATESVL2
AI,31.4647,-96.985,propagated,low,0,,LZ_HOUSTON,138.0,,,LK
AILEEN,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,138.0,,,
AIRCO,32.241111,-97.071389,propagated,low,0,,LZ_NORTH,138.0,,,HILL_CO
AIRLINE,27.695512,-97.373905,osm,high,100,Airline Substation,LZ_SOUTH,138.0,,203655558,
AIRP,31.593316,-100.178079,propagated,low,0,,LZ_WEST,69.0,,,MILES
AIRPK,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,138.0,,,
AIRPORT,25.906271,-97.447351,osm,high,100,Airport Substation,LZ_SOUTH,138.0,,323184324,
AIRPRTRD,30.903038,-102.919327,osm,medium,87.8,Airport Substation,LZ_WEST,138.0,,502934795,
AIR_LIQC,27.814893,-97.477998,osm,medium,82.6,Air Liquide Substation,LZ_SOUTH,69.0,,488507977,
AJAXWIND,32.104125,-100.162375,propagated,low,0,,LZ_WEST,345.0,,,HOLSTEIN
