GEN UID,Bus ID,Unit Group,Unit Type,Fuel,PMin MW,PMax MW,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Fuel Price $/MMBTU,Fixed Cost($/hr),MW Break 1,MWh Price 1
STAM_SLR_SOLAR1,3426,Solar,S,Solar,0.0,77.8,0,0,77.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
STAM_SLR_SOLAR2,3426,Solar,S,Solar,0.0,178.6,0,0,178.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
STRLING_STRLING,2914,Solar,S,Solar,0.0,10.0,0,0,10.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
STLHS_SL_PV1,1492,Solar,S,Solar,0.0,210.8,0,0,210.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
STRATEGC_UNIT1,3244,Solar,S,Solar,0.0,135.0,0,0,135.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
SUNVASLR_UNIT1,2540,Solar,S,Solar,0.0,165.8,0,0,165.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
SUNVASLR_UNIT2,2540,Solar,S,Solar,0.0,86.2,0,0,86.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
SOME1_1UNIT,2218,Solar,S,Solar,0.0,5.6,0,0,5.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
VALL1_1UNIT,2218,Solar,S,Solar,0.0,9.9,0,0,9.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
SOME2_1UNIT,2218,Solar,S,Solar,0.0,5.0,0,0,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
VALL2_1UNIT,2218,Solar,S,Solar,0.0,9.9,0,0,9.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
SUN_SLR_UNIT_1,1795,Solar,S,Solar,0.0,203.5,0,0,203.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
TALCOWST_TALCO,3426,Solar,S,Solar,0.0,7.5,0,0,7.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
TAYGETE_UNIT1,3634,Solar,S,Solar,0.0,125.9,0,0,125.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
TAYGETE_UNIT2,3634,Solar,S,Solar,0.0,128.9,0,0,128.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
TAYGETE2_UNIT1,823,Solar,S,Solar,0.0,101.9,0,0,101.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
TAYGETE2_UNIT2,823,Solar,S,Solar,0.0,101.9,0,0,101.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
NOVA1SLR_UNIT1,2933,Solar,S,Solar,0.0,126.8,0,0,126.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
NOVA1SLR_UNIT2,2933,Solar,S,Solar,0.0,126.7,0,0,126.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
NOVA2SLR_UNIT1,2933,Solar,S,Solar,0.0,202.4,0,0,202.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
TRBT_SLR_PV1,823,Solar,S,Solar,0.0,150.0,0,0,150.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
TRBT_SLR_PV2,823,Solar,S,Solar,0.0,156.9,0,0,156.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
