UID,From Bus,To Bus,R,X,B,Cont Rating
L3136_3137,3136,3137,0.0,0.00017145,0.0,999999
L3080_3081,3080,3081,0.0,8.806e-05,0.0,999999
L3046_3048,3046,3048,0.0,0.00029962,0.0,999999
L1569_3081,1569,3081,0.0,0.00046224,0.0,999999
L16_2308,16,2308,0.0,0.00616706,0.0,2400
L1621_3101,1621,3101,0.0,0.01014673,0.0,999999
L3115_3116,3115,3116,0.0,0.00010665,0.0,999999
L3102_3145,3102,3145,0.0,8.078e-05,0.0,999999
L1517_1682,1517,1682,0.0,0.00355351,0.0,2400
L2373_2375,2373,2375,0.0,0.0018019,0.0,2400
L1662_3049,1662,3049,0.0,0.00031407,0.0,999999
L1637_3084,1637,3084,0.0,0.00028113,0.0,999999
L2378_3052,2378,3052,0.0,0.00320916,0.0,999999
L3050_3126,3050,3126,0.0,0.00023329,0.0,999999
L1638_1639,1638,1639,0.0,0.00482587,0.0,2400
L803_1624,803,1624,0.0,0.00500356,0.0,2400
L37_41,37,41,0.0,0.00695477,0.0,2400
L819_1365,819,1365,0.0,0.02781066,0.0,2400
L924_2236,924,2236,0.0,0.00098249,0.0,2400
L1620_1971,1620,1971,0.0,0.00354487,0.0,2400
L1608_1612,1608,1612,0.0,0.00241949,0.0,2400
L996_3037,996,3037,0.0,0.02051064,0.0,999999
L1634_3078,1634,3078,0.0,0.01547315,0.0,999999
L1599_2430,1599,2430,0.0,0.01392844,0.0,2400
L1596_1606,1596,1606,0.0,0.00351199,0.0,2400
L1680_2984,1680,2984,0.0,0.00319864,0.0,2400
L2953_3076,2953,3076,0.0,0.00027682,0.0,999999
L1572_3034,1572,3034,0.0,0.00050252,0.0,2400
L1558_1559,1558,1559,0.0,0.0025363,0.0,2400
L1597_1605,1597,1605,0.0,0.00495116,0.0,2400
L827_3064,827,3064,0.0,0.00980861,0.0,999999
L1518_1687,1518,1687,0.0,0.00700236,0.0,2400
L58_872,58,872,0.0,0.00429247,0.0,2400
L31_3070,31,3070,0.0,0.01290218,0.0,999999
L1495_2364,1495,2364,0.0,0.01128093,0.0,2400
L1564_2966,1564,2966,0.0,0.02788406,0.0,2400
L1557_3123,1557,3123,0.0,0.0011998,0.0,999999
L1811_3129,1811,3129,0.0,0.01516939,0.0,999999
L2064_2285,2064,2285,0.0,0.00341271,0.0,2400
L22_2111,22,2111,0.0,0.00164478,0.0,2400
L206_835,206,835,0.0,0.00244429,0.0,2400
L991_1692,991,1692,0.0,0.00393886,0.0,2400
L753_1574,753,1574,0.0,0.00013186,0.0,999999
L55_1689,55,1689,0.0,0.001713,0.0,2400
L1583_2411,1583,2411,0.0,0.0018698,0.0,2400
L1495_3052,1495,3052,0.0,0.00439936,0.0,999999
L1607_1610,1607,1610,0.0,0.00217749,0.0,2400
L2115_3068,2115,3068,0.0,0.00575824,0.0,999999
L62_63,62,63,0.0,0.00430116,0.0,2400
L823_2348,823,2348,0.0,0.00570359,0.0,2400
L808_3060,808,3060,0.0,0.01102981,0.0,999999
L632_829,632,829,0.0,0.00253123,0.0,2400
L3128_3142,3128,3142,0.0,0.00014559,0.0,999999
L817_820,817,820,0.0,0.01178312,0.0,2400
L1555_3050,1555,3050,0.0,0.01226313,0.0,999999
L1580_3037,1580,3037,0.0,0.00030913,0.0,999999
L2138_2420,2138,2420,0.0,0.00091803,0.0,2400
L2088_2986,2088,2986,0.0,0.00238323,0.0,2400
L2407_3134,2407,3134,0.0,0.00137943,0.0,999999
L1228_1866,1228,1866,0.0,0.002511,0.0,2400
L2353_2373,2353,2373,0.0,0.00264557,0.0,2400
L635_3039,635,3039,0.0,0.00141047,0.0,999999
L1524_1527,1524,1527,0.0,0.01264587,0.0,2400
L1483_1495,1483,1495,0.0,0.04740735,0.0,2400
L1617_1919,1617,1919,0.0,0.00208475,0.0,2400
L952_1572,952,1572,0.0,0.00153075,0.0,2400
L823_824,823,824,0.0,0.00016173,0.0,999999
L20_2378,20,2378,0.0,0.00043185,0.0,2400
L1633_1635,1633,1635,0.0,0.00174522,0.0,2400
L1851_3041,1851,3041,0.0,0.00823168,0.0,999999
L14_837,14,837,0.0,0.00193158,0.0,2400
L1549_1811,1549,1811,0.0,0.00939092,0.0,2400
L3105_3106,3105,3106,0.0,0.00010946,0.0,999999
L1801_1837,1801,1837,0.0,0.00556786,0.0,2400
L1639_1650,1639,1650,0.0,0.01872828,0.0,2400
L1628_3093,1628,3093,0.0,0.0013918,0.0,999999
L37_44,37,44,0.0,0.00648893,0.0,2400
L1636_1637,1636,1637,0.0,0.01324686,0.0,2400
L523_819,523,819,0.0,0.00484996,0.0,2400
L3098_3100,3098,3100,0.0,0.00011987,0.0,999999
L1487_3054,1487,3054,0.0,0.00321128,0.0,999999
L1571_3119,1571,3119,0.0,0.00674705,0.0,999999
L1560_2236,1560,2236,0.0,0.00875643,0.0,2400
L1840_1847,1840,1847,0.0,0.00218763,0.0,999999
L2229_3074,2229,3074,0.0,0.0001586,0.0,999999
L1530_2259,1530,2259,0.0,0.01079062,0.0,2400
