uid,from_bus,to_bus,voltage_kv,length_km,capacity_mva,reactance
L2955_3075,2955,3075,345.0,2.51,1200,0.00067589
L1692_1693,1692,1693,345.0,0.58,1200,0.00015565
L804_816,804,816,345.0,61.95,2400.0,0.01665441
L1484_2373,1484,2373,345.0,15.93,2400.0,0.00428336
L1496_2364,1496,2364,345.0,64.85,2400.0,0.0174337
L1490_1495,1490,1495,345.0,32.02,2400.0,0.00860953
L1664_1821,1664,1821,345.0,80.35,2400.0,0.02160219
L2028_2317,2028,2317,345.0,0.55,1200,0.00014671
L1599_2261,1599,2261,345.0,25.62,2400.0,0.00688886
L206_3128,206,3128,345.0,11.65,1200,0.00313203
L1889_3026,1889,3026,345.0,3.61,1200,0.0009703
L1600_1895,1600,1895,345.0,6.84,2400.0,0.00183825
L1613_3089,1613,3089,345.0,78.25,1200,0.02103741
L1937_3057,1937,3057,345.0,31.9,1200,0.00857725
L2411_2412,2411,2412,345.0,14.25,2400.0,0.00383059
L1607_1612,1607,1612,345.0,7.0,2400.0,0.00188172
L1573_1590,1573,1590,345.0,24.37,2400.0,0.00655101
L1621_3087,1621,3087,345.0,0.55,1200,0.00014659
L836_1583,836,1583,345.0,49.08,2400.0,0.01319528
L1636_2380,1636,2380,345.0,36.11,2400.0,0.00970727
L62_1601,62,1601,345.0,11.82,2400.0,0.00317716
L808_2230,808,2230,345.0,85.96,2400.0,0.02311076
L202_2131,202,2131,345.0,47.62,2400.0,0.01280309
L2390_3038,2390,3038,345.0,0.82,1200,0.00022103
L2261_3145,2261,3145,345.0,5.03,1200,0.00135102
L807_3071,807,3071,345.0,34.09,1200,0.00916407
L2307_2335,2307,2335,345.0,5.33,2400.0,0.00143403
L788_1584,788,1584,345.0,52.27,2400.0,0.01405229
L1664_1851,1664,1851,345.0,11.22,2400.0,0.00301691
L125_2230,125,2230,345.0,44.3,2400.0,0.01190963
L2195_3092,2195,3092,345.0,3.26,1200,0.00087527
L1515_1791,1515,1791,345.0,41.44,2400.0,0.01114178
L1580_3067,1580,3067,345.0,9.38,1200,0.00252174
L2365_2366,2365,2366,345.0,0.31,1200,8.466e-05
L1013_3045,1013,3045,345.0,11.49,1200,0.0030892
L515_1650,515,1650,345.0,3.61,2400.0,0.0009715
L1483_3055,1483,3055,345.0,27.46,1200,0.00738192
L2951_3085,2951,3085,345.0,26.41,1200,0.00710117
L1665_3100,1665,3100,345.0,11.17,1200,0.0030041
L1062_2272,1062,2272,345.0,63.37,2400.0,0.01703782
