id,name,zone,base_kv,lat,lng,mw_load,gen_mw,gen_fuels
312,Hi_Line_Substation,SOUTH,138.0,26.10314,-98.21409,0.0,0.0,
313,Stewart_Road_Substation,SOUTH,138.0,26.12531,-98.15396,0.0,0.0,
314,Las_Milpas_Substation,SOUTH,138.0,26.13925,-98.19447,0.0,0.0,
315,Frontera_Substation,SOUTH,138.0,26.21781,-98.39728,0.0,0.0,
316,Bates_Substation,SOUTH,138.0,26.22096,-98.3967,0.0,0.0,
317,Palmview_Substation,SOUTH,138.0,26.23515,-98.36649,0.0,0.0,
318,Palmhurst_Substation,SOUTH,138.0,26.26114,-98.33394,0.0,0.0,
319,Key_Switching_Station,SOUTH,138.0,26.26081,-98.29736,0.0,0.0,
320,Alton_Substation,SOUTH,138.0,26.26903,-98.29289,0.0,0.0,
321,West_Edinburg_Substation,SOUTH,138.0,26.31732,-98.23419,0.0,0.0,
322,Palmhurst_Substation_322,SOUTH,138.0,26.27195,-98.23791,0.0,0.0,
324,North_McAllen_Substation,SOUTH,138.0,26.24787,-98.23861,0.0,0.0,
325,Rio_Grande_City_Substation,SOUTH,138.0,26.39256,-98.81951,0.0,200.0,Wind
326,Roma_Substation,SOUTH,138.0,26.42264,-99.02203,0.0,0.0,
327,Garceno_Substation,SOUTH,138.0,26.411,-98.93678,0.0,0.0,
328,La_Grulla_Substation,SOUTH,138.0,26.30656,-98.63497,0.0,0.0,
329,Goodwin_Substation,SOUTH,138.0,26.24522,-98.45156,0.0,0.0,
330,Rachal_Substation,SOUTH,138.0,26.89009,-98.16386,0.0,146.8,Solar
331,Los_Mirasoles_Substation,SOUTH,345.0,26.49254,-98.44845,0.0,300.4,Wind
332,Red_Gate_Substation,SOUTH,138.0,26.4497,-98.17723,0.0,525.2,Gas
333,Citrus_City_Substation,SOUTH,138.0,26.32098,-98.3515,0.0,0.0,
334,Moore_Field_Substation,SOUTH,138.0,26.35959,-98.31537,0.0,0.0,
335,Paredes_Switching_Station,SOUTH,138.0,26.1955,-97.46648,0.0,508.4,Wind
336,East_Rio_Hondo_Substation,SOUTH,138.0,26.22741,-97.53416,0.0,0.0,
337,San_Roman_Wind_Substation,SOUTH,138.0,26.09306,-97.38657,0.0,95.3,Wind
338,Central_Avenue_Substation,SOUTH,138.0,25.9538,-97.4456,0.0,0.0,
339,Red_Fish_Substation,SOUTH,138.0,26.47593,-97.69104,0.0,0.0,
340,Trees_Substation,SOUTH,138.0,26.32144,-97.59943,0.0,0.0,
341,ThePalm_Substation,SOUTH,138.0,26.345,-97.67068,0.0,0.0,
342,Las_Pulgas_Substation,SOUTH,138.0,26.46106,-97.75067,0.0,0.0,
343,Crestonio_Substation,SOUTH,138.0,27.36537,-98.59787,0.0,0.0,
344,Falfurrias_Substation,SOUTH,138.0,27.24211,-98.14237,0.0,0.0,
345,Baffin_Substation,SOUTH,345.0,27.18401,-97.59708,0.0,202.0,Wind
346,Marana_Switchyard,SOUTH,345.0,27.10334,-97.52965,0.0,0.0,
347,Loyola_Substation,SOUTH,138.0,27.31851,-97.81027,0.0,0.0,
348,Mill_Creek_Substation,SOUTH,138.0,30.18281,-96.57991,0.0,0.0,
349,Sandy_Hill_Substation,SOUTH,138.0,30.2779,-96.32725,0.0,0.0,
350,Round_Top_Substation,SOUTH,138.0,30.07784,-96.71073,0.0,0.0,
351,Frelsburg_Substation,SOUTH,138.0,29.83564,-96.61599,0.0,0.0,
352,Fayette_River_Pump_Substation,SOUTH,138.0,29.86843,-96.77544,0.0,0.0,
353,Warda_Substation,SOUTH,138.0,30.05025,-96.92084,0.0,0.0,
354,Deanville_Substation,SOUTH,138.0,30.42713,-96.80134,0.0,0.0,
355,Lyons_Substation,SOUTH,138.0,30.39429,-96.57341,0.0,0.0,
356,Gay_Hill_Substation,SOUTH,138.0,30.27105,-96.47169,0.0,0.0,
357,Yorktown_Substation,SOUTH,138.0,28.97476,-97.49862,0.0,0.0,
358,FM_237_Yorktown_Substation,SOUTH,138.0,28.98796,-97.48108,0.0,0.0,
360,Gillette_Substation,SOUTH,138.0,29.23274,-97.72794,0.0,0.0,
