Bus ID,Bus Name,Sub Name,BaseKV,Bus Type,MW Load,MVAR Load,Area,Sub Area,Zone,lat,lng,osm_id,is_split
584,OSM_584,SPL_584,115.0,PQ,0.0,0.0,3,3,C,42.07801,-76.08581,723293605.0,False
585,OSM_585,SPL_585,115.0,PQ,0.0,0.0,3,3,C,42.09847,-76.09324,723293602.0,False
586,OSM_586,SPL_586,115.0,PQ,0.0,0.0,2,2,B,42.30491,-77.55547,718224489.0,False
588,OSM_588,SPL_588,115.0,PQ,0.0,0.0,1,1,A,43.16938,-78.74943,682721553.0,False
591,OSM_591,SPL_591,115.0,PQ,0.0,0.0,6,6,F,42.235,-73.86796,635403801.0,False
592,OSM_592,SPL_592,115.0,PQ,0.0,0.0,2,2,B,42.11248,-77.15874,626273082.0,False
593,OSM_593,SPL_593,115.0,PQ,0.0,0.0,3,3,C,42.60258,-76.63286,571688108.0,False
597,OSM_597,SPL_597,115.0,PQ,0.0,0.0,3,3,C,42.94186,-75.42095,502143913.0,False
599,OSM_599,SPL_599,115.0,PQ,0.0,0.0,7,7,G,41.65828,-73.89485,449617044.0,False
601,OSM_601,SPL_601,115.0,PQ,0.0,0.0,4,4,D,44.27411,-73.97583,400475702.0,False
603,OSM_603,SPL_603,115.0,PQ,0.0,0.0,3,3,C,43.14431,-75.21521,396614106.0,False
606,OSM_606,SPL_606,138.0,PQ,0.0,0.0,7,7,G,41.13606,-74.02969,383474535.0,False
607,OSM_607,SPL_607,115.0,PQ,0.0,0.0,6,6,F,42.69213,-73.83564,382687510.0,False
610,OSM_610,SPL_610,115.0,PQ,0.0,0.0,6,6,F,42.18524,-73.65386,382666388.0,False
611,OSM_611,SPL_611,115.0,PQ,0.0,0.0,6,6,F,42.62721,-73.76535,358724049.0,False
612,OSM_612,SPL_612,115.0,PQ,0.0,0.0,4,4,D,44.88816,-73.539,352968113.0,False
613,OSM_613,SPL_613,115.0,PQ,0.0,0.0,3,3,C,43.11009,-76.19114,342981199.0,False
614,OSM_614,SPL_614,115.0,PQ,0.0,0.0,6,6,F,42.20874,-73.79406,326175770.0,False
615,OSM_615,SPL_615,115.0,PQ,0.0,0.0,6,6,F,42.62458,-73.75026,323014598.0,False
618,OSM_618,SPL_618,115.0,PQ,0.0,0.0,3,3,C,42.59001,-76.20649,321649082.0,False
620,OSM_620,SPL_620,115.0,PQ,0.0,0.0,3,3,C,42.04136,-76.34467,319010011.0,False
621,OSM_621,SPL_621,115.0,PQ,0.0,0.0,6,6,F,42.3155,-74.24561,310697595.0,False
622,OSM_622,SPL_622,115.0,PQ,0.0,0.0,3,3,C,42.11548,-76.05998,256659597.0,False
623,OSM_623,SPL_623,115.0,PQ,0.0,0.0,7,7,G,41.67709,-74.9778,243603941.0,False
624,OSM_624,SPL_624,115.0,PQ,0.0,0.0,4,4,D,44.78832,-73.48244,242628268.0,False
625,OSM_625,SPL_625,115.0,PQ,0.0,0.0,3,3,C,42.13268,-75.93166,240081428.0,False
