GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,POPULATION,LOAD_MW
75604,121995716,961320,47.103,0.371,32.509161,-94.824249,29922,59.844
75605,205079239,530202,79.182,0.205,32.582243,-94.725529,32438,64.876
75630,234254997,27231211,90.446,10.514,32.867555,-94.549488,2104,4.208
75631,303099887,3158819,117.028,1.22,32.249318,-94.45322,3029,6.058
75633,839022622,8514960,323.948,3.288,32.138496,-94.274156,12831,25.662
75638,229391336,7172406,88.568,2.769,33.020475,-94.729699,5106,10.212
75639,441684699,1543472,170.535,0.596,32.293824,-94.169679,2756,5.5120000000000005
75640,219207136,4943025,84.636,1.909,32.708417,-94.683181,5181,10.362
75641,8611046,0,3.325,0.0,32.378406,-94.575782,138,0.276
75642,5817211,0,2.246,0.0,32.371536,-94.176598,23,0.046
75643,176444887,6373818,68.126,2.461,32.019371,-94.361907,2151,4.3020000000000005
75644,485477066,4431534,187.444,1.711,32.791213,-94.999846,13883,27.766
75645,375677671,4744029,145.05,1.832,32.688692,-94.871843,10393,20.786
75647,196803093,2843679,75.986,1.098,32.514634,-94.953287,12328,24.656
75650,321614608,6956716,124.176,2.686,32.513277,-94.548846,9775,19.55
75651,152040869,566339,58.703,0.219,32.664407,-94.538189,2300,4.6000000000000005
75652,455086081,11199649,175.71,4.324,32.239409,-94.728328,16078,32.156
75654,526083832,2759276,203.122,1.065,32.077773,-94.83013,12268,24.536
75656,277477745,1220043,107.135,0.471,33.011304,-94.572161,4897,9.794
75657,868452468,58143925,335.311,22.449,32.794973,-94.310306,7274,14.548
75661,330179086,24048878,127.483,9.285,32.631317,-94.171261,2586,5.172
75662,330369413,535651,127.556,0.207,32.384458,-94.870169,26318,52.636
75667,218788480,698689,84.475,0.27,31.988175,-94.844274,1327,2.654
75668,59017367,10300177,22.787,3.977,32.907075,-94.678637,2469,4.938
75669,163332818,3882180,63.063,1.499,32.038799,-94.57588,1332,2.664
75670,318474862,1162354,122.964,0.449,32.569858,-94.418658,18263,36.526
75672,614704037,1846944,237.339,0.713,32.468303,-94.299079,16480,32.96
75681,332747585,506206,128.475,0.195,31.925449,-94.704029,2425,4.8500000000000005
75682,7961809,0,3.074,0.0,32.250338,-94.936535,572,1.144
75683,145957586,17695595,56.355,6.832,32.826816,-94.737224,4053,8.106
75684,261650896,850075,101.024,0.328,32.277021,-94.937156,8086,16.172
75686,600689720,32417104,231.928,12.516,32.965131,-94.951917,13483,26.966
75691,240869355,18652104,93.0,7.202,32.311917,-94.551752,3963,7.926
75692,232438644,957230,89.745,0.37,32.470841,-94.118036,4387,8.774000000000001
75693,28371984,127290,10.954,0.049,32.53378,-94.86066,6863,13.726
75701,40709254,67192,15.718,0.026,32.321937,-95.302223,36089,72.178
75702,35398667,124032,13.668,0.048,32.362434,-95.315262,27678,55.356
75703,140502612,1318198,54.248,0.509,32.235111,-95.320764,42955,85.91
75704,173734092,1728161,67.079,0.667,32.413201,-95.444258,10367,20.734
75705,71718502,643136,27.691,0.248,32.363842,-95.086288,3138,6.276
75706,194352498,2891089,75.04,1.116,32.469555,-95.307879,10882,21.764
75707,133793256,10206402,51.658,3.941,32.301709,-95.177976,13206,26.412
75708,141826125,1279112,54.759,0.494,32.418412,-95.21307,9461,18.922
75709,53674867,1768389,20.724,0.683,32.304313,-95.390937,4624,9.248
75750,121266180,4108278,46.821,1.586,32.26754,-95.077715,3414,6.828
75751,417031541,10241569,161.017,3.954,32.094348,-95.906047,17356,34.712
75752,383347833,10630830,148.011,4.105,32.251937,-95.799861,7263,14.526
75754,321835977,5235832,124.262,2.022,32.42667,-95.667877,8021,16.042
75755,270407702,4024720,104.405,1.554,32.641695,-95.075624,4805,9.61
75756,177537545,843509,68.548,0.326,32.302029,-95.600894,4332,8.664
75757,226183652,12442490,87.33,4.804,32.110362,-95.348104,13641,27.282
75758,127911593,46355415,49.387,17.898,32.271436,-95.521442,9041,18.082
75759,5818739,0,2.247,0.0,32.035939,-95.418796,116,0.232
75760,337149076,332156,130.174,0.128,31.796249,-94.85434,2386,4.772
75762,112786601,19207626,43.547,7.416,32.218341,-95.413445,13703,27.406
75763,279169915,18956475,107.788,7.319,32.042754,-95.523388,6359,12.718
75764,3272993,0,1.264,0.0,31.895427,-95.143719,212,0.424
75765,264531281,8794509,102.136,3.396,32.642043,-95.234859,7507,15.014
75766,790821617,13282492,305.338,5.128,31.944675,-95.256775,26995,53.99
75770,312774764,8493508,120.763,3.279,32.158557,-95.643712,2552,5.104
75771,372908883,7301686,143.981,2.819,32.537897,-95.435716,20509,41.018
