ZCTA,LAT,LON,POP,LOAD_MW
11779,40.812958,-73.11449,38091,76.182
11780,40.911113,-73.172509,15934,31.868000000000002
11782,40.738088,-73.08167,15057,30.114
11783,40.677612,-73.490014,21285,42.57
11784,40.868938,-73.041244,25014,50.028
11786,40.950485,-72.886658,6225,12.450000000000001
11787,40.852924,-73.21126,33837,67.674
11788,40.818088,-73.213209,16693,33.386
11789,40.962028,-72.971008,7496,14.992
11790,40.905957,-73.127374,16099,32.198
11791,40.828288,-73.505922,25776,51.552
11792,40.955033,-72.825569,8413,16.826
11793,40.651288,-73.514726,30601,61.202
11794,40.913615,-73.125246,3363,6.726
11795,40.709005,-73.296337,25062,50.124
11796,40.731247,-73.099419,4112,8.224
11797,40.820208,-73.47245,8998,17.996
11798,40.752632,-73.378372,15636,31.272000000000002
11801,40.762304,-73.524452,40179,80.358
11803,40.781771,-73.473118,29208,58.416000000000004
11804,40.75901,-73.457384,4639,9.278
11901,40.925812,-72.64617,28760,57.52
11930,40.989988,-72.099587,618,1.236
11931,40.934272,-72.612391,84,0.168
11932,40.934313,-72.306615,1099,2.198
11933,40.942231,-72.765594,6475,12.950000000000001
11934,40.798359,-72.794297,7357,14.714
11935,41.021223,-72.486958,3008,6.016
11937,41.013013,-72.168912,16672,33.344
11939,41.130732,-72.327684,1144,2.2880000000000003
11940,40.81317,-72.752004,4963,9.926
11941,40.830126,-72.729797,1770,3.54
11942,40.850437,-72.582821,5053,10.106
11944,41.10403,-72.371541,4144,8.288
11946,40.870215,-72.521741,15058,30.116
11947,40.950659,-72.571053,423,0.846
11948,40.960725,-72.54988,670,1.34
11949,40.866503,-72.804643,13457,26.914
11950,40.807616,-72.847518,16130,32.26
11951,40.763164,-72.830344,14756,29.512
11952,41.001648,-72.547599,5031,10.062
11953,40.892509,-72.951175,14301,28.602
11954,41.047538,-71.946369,3563,7.126
11955,40.813511,-72.823823,3149,6.298
11956,40.969049,-72.462175,353,0.706
11957,41.202434,-72.118732,1023,2.0460000000000003
11958,41.039067,-72.464419,683,1.366
11959,40.822586,-72.601345,571,1.1420000000000001
11960,40.810615,-72.706062,721,1.442
11961,40.905139,-72.888349,13701,27.402
11962,40.930895,-72.268719,296,0.592
11963,40.993969,-72.320949,6966,13.932
11964,41.049483,-72.302316,2287,4.574
11965,41.080919,-72.292925,456,0.912
11967,40.794778,-72.875477,29130,58.26
11968,40.905923,-72.415661,10778,21.556
